Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,Tm,Opp.1,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,ORB%.1,FT/FGA.1,Team,Season,SeasonType
27.0,27.0,2021-12-13,,HOU,L,126.0,132.0,,123.8,129.6,101.8,0.365,0.459,0.639,52.9,47.6,8.8,12.0,0.582,10.8,19.5,0.318,0.578,9.3,27.3,0.219,ATL,2022,reg
28.0,28.0,2021-12-15,@,ORL,W,111.0,99.0,,112.4,100.2,98.8,0.188,0.365,0.603,53.5,59.5,11.1,9.1,0.559,12.4,15.0,0.188,0.444,14.6,26.1,0.211,ATL,2022,reg
29.0,29.0,2021-12-17,,DEN,L,115.0,133.0,,109.3,126.4,105.2,0.386,0.273,0.558,50.7,53.7,5.7,6.3,0.506,12.7,22.7,0.295,0.68,15.3,12.9,0.186,ATL,2022,reg
30.0,30.0,2021-12-22,,ORL,L,98.0,104.0,,105.5,111.9,92.9,0.363,0.388,0.528,44.9,65.6,4.3,16.7,0.475,13.1,28.9,0.275,0.512,9.5,18.2,0.2,ATL,2022,reg
31.0,31.0,2021-12-23,@,PHI,W,98.0,96.0,,107.9,105.7,90.9,0.232,0.293,0.542,45.2,54.1,5.5,7.5,0.494,15.0,26.8,0.207,0.45,8.0,18.6,0.3,ATL,2022,reg
32.0,32.0,2021-12-25,@,NYK,L,87.0,101.0,,93.9,109.0,92.7,0.161,0.437,0.467,52.1,69.7,8.6,14.3,0.454,11.4,16.3,0.092,0.565,10.0,19.1,0.059,ATL,2022,reg
33.0,33.0,2021-12-27,,CHI,L,118.0,130.0,,119.9,132.1,98.4,0.292,0.382,0.587,49.4,55.0,3.0,8.8,0.534,9.1,23.9,0.258,0.638,9.1,20.9,0.106,ATL,2022,reg
34.0,34.0,2021-12-29,@,CHI,L,117.0,131.0,,115.0,128.7,101.8,0.283,0.283,0.566,52.6,59.1,5.9,4.8,0.538,9.6,22.2,0.196,0.679,13.8,18.2,0.202,ATL,2022,reg
35.0,35.0,2021-12-31,@,CLE,W,121.0,118.0,,129.9,126.7,93.2,0.216,0.392,0.569,51.1,53.5,8.6,6.8,0.526,1.8,26.9,0.196,0.619,8.7,21.1,0.167,ATL,2022,reg
36.0,36.0,2022-01-03,@,POR,L,131.0,136.0,,132.4,137.5,98.9,0.273,0.466,0.665,51.3,64.6,6.1,2.1,0.625,11.7,23.7,0.239,0.629,9.0,28.6,0.27,ATL,2022,reg
37.0,37.0,2022-01-05,@,SAC,W,108.0,102.0,,110.9,104.8,97.4,0.349,0.349,0.544,49.5,51.3,8.2,7.9,0.5,9.2,21.3,0.256,0.483,10.0,20.8,0.167,ATL,2022,reg
38.0,38.0,2022-01-07,@,LAL,L,118.0,134.0,,109.6,124.5,107.7,0.281,0.375,0.547,46.5,67.4,2.8,0.0,0.516,12.2,25.0,0.198,0.579,6.8,16.3,0.168,ATL,2022,reg
39.0,39.0,2022-01-09,@,LAC,L,93.0,106.0,,100.5,114.6,92.5,0.244,0.333,0.538,54.7,54.3,6.5,3.4,0.494,13.1,15.0,0.205,0.543,12.0,28.3,0.065,ATL,2022,reg
40.0,40.0,2022-01-12,,MIA,L,91.0,115.0,,92.4,116.8,98.5,0.28,0.549,0.494,59.3,64.5,8.1,6.7,0.457,13.2,12.0,0.195,0.567,13.5,24.4,0.144,ATL,2022,reg
41.0,41.0,2022-01-14,@,MIA,L,118.0,124.0,,123.5,129.8,95.6,0.38,0.481,0.64,52.1,68.4,6.3,12.8,0.582,14.8,24.3,0.329,0.623,15.1,26.5,0.364,ATL,2022,reg
42.0,42.0,2022-01-15,,NYK,L,108.0,117.0,,118.1,128.0,91.4,0.213,0.55,0.617,58.7,57.5,5.5,9.6,0.6,9.3,10.8,0.15,0.584,10.4,28.9,0.241,ATL,2022,reg
43.0,43.0,2022-01-17,,MIL,W,121.0,114.0,,121.0,114.0,100.0,0.372,0.419,0.605,47.7,65.8,7.0,16.0,0.529,11.5,23.3,0.349,0.534,11.7,20.0,0.227,ATL,2022,reg
44.0,44.0,2022-01-19,,MIN,W,134.0,122.0,,131.8,120.0,101.6,0.384,0.442,0.667,53.6,75.6,6.9,17.6,0.61,10.7,21.6,0.337,0.521,10.6,34.0,0.216,ATL,2022,reg
45.0,45.0,2022-01-21,,MIA,W,110.0,108.0,,121.6,119.4,90.4,0.353,0.485,0.7,47.8,68.4,3.3,2.2,0.662,18.6,21.4,0.294,0.571,14.2,26.8,0.129,ATL,2022,reg
46.0,46.0,2022-01-23,@,CHO,W,113.0,91.0,,112.2,90.3,100.7,0.273,0.443,0.573,54.5,62.5,11.9,11.8,0.54,9.2,14.0,0.205,0.414,13.9,22.4,0.218,ATL,2022,reg
47.0,47.0,2022-01-26,,SAC,W,121.0,104.0,,120.9,103.9,100.1,0.189,0.4,0.621,46.7,60.4,9.0,3.8,0.6,8.5,15.8,0.144,0.484,10.6,19.2,0.151,ATL,2022,reg
48.0,48.0,2022-01-28,,BOS,W,108.0,92.0,,111.1,94.7,97.2,0.225,0.348,0.552,54.7,46.3,10.3,22.0,0.528,10.9,20.0,0.157,0.39,15.5,32.0,0.291,ATL,2022,reg
49.0,49.0,2022-01-30,,LAL,W,129.0,121.0,,126.1,118.3,102.3,0.381,0.369,0.658,45.8,63.3,6.8,0.0,0.643,10.9,20.0,0.25,0.626,11.8,14.0,0.138,ATL,2022,reg
50.0,50.0,2022-01-31,,TOR,L,100.0,106.0,,103.3,109.5,96.8,0.198,0.395,0.568,48.3,75.7,6.2,9.4,0.531,14.6,11.9,0.173,0.528,7.7,12.8,0.135,ATL,2022,reg
51.0,51.0,2022-02-03,,PHO,W,124.0,115.0,,123.5,114.5,100.4,0.262,0.476,0.662,48.8,56.8,6.0,1.8,0.643,13.8,15.4,0.19,0.574,10.3,14.6,0.159,ATL,2022,reg
52.0,52.0,2022-02-04,@,TOR,L,114.0,125.0,,118.1,129.4,96.6,0.226,0.312,0.558,52.9,62.8,12.4,7.4,0.511,8.1,26.0,0.204,0.673,16.0,22.9,0.198,ATL,2022,reg
53.0,53.0,2022-02-06,@,DAL,L,94.0,103.0,,98.6,108.0,95.3,0.168,0.263,0.461,49.0,56.8,7.3,7.7,0.416,10.5,29.4,0.158,0.523,14.6,25.5,0.125,ATL,2022,reg
54.0,54.0,2022-02-08,,IND,W,133.0,112.0,,133.8,112.7,99.4,0.178,0.367,0.685,50.0,69.2,8.0,11.3,0.672,14.2,28.6,0.133,0.452,10.8,35.3,0.301,ATL,2022,reg
55.0,55.0,2022-02-11,,SAS,L,121.0,136.0,,115.0,129.3,105.2,0.146,0.417,0.552,45.6,59.6,9.5,8.6,0.524,11.3,32.1,0.126,0.656,12.4,13.5,0.2,ATL,2022,reg
56.0,56.0,2022-02-13,@,BOS,L,95.0,105.0,,98.0,108.3,96.9,0.161,0.409,0.477,52.9,52.9,6.2,6.4,0.43,11.5,20.8,0.161,0.488,11.0,24.5,0.259,ATL,2022,reg
57.0,57.0,2022-02-15,,CLE,W,124.0,116.0,,135.1,126.4,91.8,0.338,0.413,0.675,52.7,58.1,9.8,8.5,0.625,10.7,21.9,0.3,0.602,12.2,33.3,0.114,ATL,2022,reg
58.0,58.0,2022-02-16,@,ORL,W,130.0,109.0,,130.5,109.5,99.6,0.311,0.367,0.635,48.9,51.1,7.0,10.5,0.6,9.7,28.3,0.244,0.495,11.1,26.1,0.122,ATL,2022,reg
59.0,59.0,2022-02-24,@,CHI,L,108.0,112.0,,108.7,112.7,99.4,0.278,0.289,0.496,48.9,48.8,2.0,5.3,0.464,8.4,26.0,0.186,0.536,8.6,15.8,0.262,ATL,2022,reg
